service_id,carrier_id,code,label,direction,origin_iso2,incoterm,service_type,max_weight_kg,volumetric_divisor,active_from,active_to
1,1,DELIVENGO_2025,Delivengo Profil 2025,EXPORT,FR,DAP,MAIL,2.0,5000,2025-01-01,
2,2,SPRING_EU_HOME,Spring Europe domicile,EXPORT,FR,DAP,PARCEL,20.0,5000,2025-01-01,
3,2,SPRING_ROW_HOME,Spring Reste du monde domicile,EXPORT,FR,DAP,PARCEL,20.0,5000,2025-01-01,
4,3,FDX_IP_EXPORT,FedEx International Priority Export,EXPORT,FR,DAP,EXPRESS,70.5,5000,2025-01-01,
5,4,UPS_EXPRESS_SAVER,UPS Express Saver,EXPORT,FR,DAP,EXPRESS,70.0,5000,2023-04-22,
6,4,UPS_STANDARD,UPS Standard,EXPORT,FR,DAP,GROUND,70.0,5000,2023-04-22,
7,4,UPS_ECONOMY_DDU_EXPORT_FR,UPS Economy DDU Export FR,EXPORT,FR,DDU,ECONOMY,70,5000,2022-04-10,
8,4,UPS_ECONOMY_DDU_IMPORT_NL,UPS Economy DDU Import NL,IMPORT,NL,DDU,ECONOMY,70,5000,2022-04-10,
9,4,UPS_EXPRESS_DDP_EXPORT_DE,UPS Express DDP Export DE,EXPORT,DE,DDP,EXPRESS,70,5000,2022-04-10,
10,4,UPS_EXPRESS_DDP_IMPORT_NL,UPS Express DDP Import NL,IMPORT,NL,DDP,EXPRESS,70,5000,2022-04-10,
